customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2648,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,3716,0
4414,0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,136,1
1902,0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.35,3882,0
2466,1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,992,0
3432,0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,66.15,1059,0
3684,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,1183,0
1674,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,2756,0
3143,0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,4081,0
3056,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,2010,1
3299,0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,2245,0
2715,1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,2246,1
4120,0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,145,1
4458,1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.55,2905,0
4757,0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,2969,0
4942,0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,2581,0
2312,0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,2959,0
2011,0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,4692,0
1828,0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,2428,0
3002,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,4676,0
3918,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,582,1
3856,1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,2601,0
1440,0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,2618,0
4047,0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,2390,0
4725,0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,564,1
3300,0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,69.5,928,0
3764,0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,3699,1
2310,0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.85,2729,0
801,1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,927,1
4413,0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,3693,0
2531,1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.45,4018,0
1963,0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,24.95,4554,0
3007,0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,4278,0
217,0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,2879,0
599,1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,3267,0
263,1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.1,1870,0
275,0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,4659,0
2872,0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,4496,1
2550,0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,1516,0
4341,1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,2304,0
1673,0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.2,1560,0
1560,0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,4614,0
3733,1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,4536,0
1109,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,49.05,2985,0
363,0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,20.4,134,0
906,1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.6,4025,0
4054,1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,560,0
2837,0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,945,0
1299,0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,3619,0
3226,0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,1717,0
2819,0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.65,2935,0
78,1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,74.75,1282,0
1925,0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,291,0
2986,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,4293,1
4093,0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,3374,0
4624,0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,3034,1
4964,0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,2659,0
146,0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,20.15,4684,0
2194,1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,4590,0
2389,0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.15,1362,0
894,0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.65,80,0
1355,0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,4602,0
1475,1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,33.75,14,0
2368,1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,1628,0
1170,1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.7,4137,0
3643,1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84.0,3404,0
3064,0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05,4037,0
4936,1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9,4159,0
4347,0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,4604,1
4910,1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.85,2901,0
126,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,181,1
1586,1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21.0,146,0
2268,0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,1587,1
3213,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.2,1183,0
1809,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,1091,0
3592,1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95.0,2280,0
2720,0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,45.55,1925,0
1572,1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,4214,1
3116,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,24.3,1,0
3385,0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.15,4097,0
4879,0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,30.15,4605,0
4320,1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,2435,0
1390,1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,19.4,470,0
241,1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,3171,1
2244,0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,57.95,1934,0
2880,0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,91.65,2451,0
2422,0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,1811,1
2650,0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,54.6,2178,0
1502,1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,89.85,1549,0
4799,0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,31.05,173,0
2669,0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,93,1
4245,0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.65,4438,0
4735,1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,85.2,1302,0
535,0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,99.8,3312,0
1427,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,166,0
198,1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,1415,1
3268,0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,50.7,2219,0
3639,0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,3646,0
2278,1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,88.95,1927,0
2178,0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,1290,1
3394,1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,23.55,889,0
1945,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,1097,0
1276,1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,2468,0
1402,0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,85.95,289,0
3130,0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,657,1
4314,1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,2085,0
1514,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,2215,1
1150,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,4359,1
3941,0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,25.7,250,0
3963,0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,75.0,951,0
1872,0,0,1,1,64,1,0,2,1,1,1,1,1,1,2,0,3,20.2,365,0
3135,1,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,19.6,231,0
190,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,3985,1
1545,0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,88.05,3740,0
2012,0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,3364,1
538,0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,101.05,3536,0
1274,1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,84.3,3190,0
553,1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.95,931,0
2882,0,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,99.05,3736,0
3434,1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,19.6,3598,0
1025,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,2762,1
3240,1,0,0,1,30,1,0,0,0,2,2,0,2,0,1,0,1,64.5,1124,0
1697,1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,69.5,104,0
1875,0,0,1,1,8,1,0,0,0,0,0,2,2,2,0,1,2,68.55,3368,0
1918,1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,3787,1
809,0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,108.15,4309,0
4567,1,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,86.1,3161,0
1504,0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,19.7,180,0
3290,0,0,1,1,14,1,0,1,0,0,0,0,0,2,0,1,0,80.9,209,0
4612,0,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,84.15,1004,0
1336,1,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,20.15,2589,0
3207,1,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,64.25,37,0
3801,1,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,25.7,1579,0
4525,0,0,0,1,13,1,0,0,2,2,0,0,0,0,0,1,2,56.0,4222,0
423,0,0,1,0,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,753,1
2208,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.7,455,0
2299,1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,73.9,2454,0
1417,0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,20.6,1437,0
3190,1,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,19.9,471,0
1659,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,1740,1
3034,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.05,3666,0
1689,1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,1685,1
570,0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,20.4,2046,0
3865,1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,84.25,2239,0
903,0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,1503,1
3384,1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,242,0
347,0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,3064,1
2985,0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,20.55,3782,0
842,0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,24.7,4265,0
1285,0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,202,1
995,0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,3079,1
3001,0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,105.35,723,0
1826,1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,20.55,331,0
3177,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,1835,1
3304,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.3,2757,0
4698,1,0,0,0,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,3820,1
2790,1,0,1,1,33,1,0,0,2,0,2,0,2,2,1,0,1,74.75,1531,0
919,0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,157,1
499,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,1488,1
2411,1,0,0,0,20,1,0,0,0,2,0,0,0,0,0,1,3,51.8,34,0
4119,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,30.4,4390,0
465,0,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,2,19.65,1519,0
4051,0,0,1,0,40,1,2,0,0,2,0,0,0,0,0,0,1,56.6,1469,0
3580,1,0,1,1,43,1,2,0,2,0,0,2,0,2,1,1,1,71.9,2022,0
1193,1,0,1,0,6,1,0,1,0,2,2,0,0,2,0,1,2,91.0,3205,1
1458,0,0,1,1,69,1,0,2,1,1,1,1,1,1,2,0,0,19.75,485,0
4854,0,0,1,1,72,1,2,1,2,2,2,0,2,2,2,0,1,109.7,4375,0
1029,1,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,1,19.3,259,0
1252,0,0,1,0,20,1,0,1,2,2,0,2,2,0,0,1,2,96.55,1110,0
4621,1,0,1,1,24,1,2,2,1,1,1,1,1,1,2,1,0,24.1,3478,0
3106,1,0,0,0,59,1,2,1,0,2,2,2,2,2,0,1,2,111.35,3770,0
3656,1,0,1,1,72,1,2,1,0,2,2,2,2,2,2,1,0,112.25,4344,0
1788,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,20.75,1193,0
4675,0,0,1,0,27,1,0,1,2,0,0,2,2,2,1,1,1,101.9,1711,0
4295,0,0,0,0,14,1,0,1,0,2,0,2,0,0,0,1,1,80.05,159,0
1652,1,0,1,1,71,1,2,1,2,0,2,0,2,2,2,0,2,105.55,4144,0
3539,1,0,0,1,13,1,0,1,0,0,0,0,2,0,0,1,1,78.3,51,0
4603,1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,0,1,68.85,1867,0
3878,0,0,0,0,33,1,0,1,0,2,0,2,0,0,1,1,0,79.95,1714,0
3192,1,0,1,1,72,0,1,0,2,2,2,2,0,2,2,1,1,55.45,2580,0
636,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,79.9,4299,1
3954,0,0,0,0,19,1,0,1,2,0,2,2,2,2,0,1,2,106.6,1129,1
669,1,0,1,0,64,1,0,1,0,2,2,2,2,2,1,1,1,102.45,3831,0
3961,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,46.0,4451,1
2074,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.25,1569,0
3614,1,0,0,1,61,1,0,2,1,1,1,1,1,1,2,0,3,19.75,171,0
2338,0,0,1,1,29,1,0,2,1,1,1,1,1,1,1,0,2,20.0,3241,0
1207,1,1,1,0,23,1,2,1,0,0,0,0,0,2,0,0,2,86.8,1162,0
349,0,0,1,0,57,0,1,0,2,2,2,0,2,2,0,1,0,58.75,2184,0
4660,1,0,1,1,72,0,1,0,2,2,2,2,0,0,2,0,1,45.25,1997,0
99,1,0,1,0,66,0,1,0,2,2,2,2,2,0,2,1,0,56.6,2369,0
980,1,0,1,1,65,1,2,0,0,2,2,2,2,2,2,1,0,84.2,3210,0
3267,0,0,0,0,8,1,0,1,0,0,0,0,2,0,0,1,0,80.0,3661,0
4718,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15,1707,1
2192,0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,24.75,1013,0
3250,1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,20.2,1183,0
367,1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,50.05,969,1
3014,0,0,0,0,12,1,0,2,1,1,1,1,1,1,1,1,0,19.35,1331,0
3414,1,0,0,0,24,0,1,0,2,0,0,0,2,2,1,1,3,50.6,376,0
3188,0,0,1,1,31,1,0,0,2,0,2,2,2,2,1,1,3,81.15,1604,0
1080,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,3294,1
2390,1,0,0,0,30,1,2,1,0,0,0,2,0,2,0,1,1,89.9,1737,0
459,0,0,1,1,47,1,2,0,2,2,0,2,2,2,2,1,1,85.3,2526,0
1283,1,0,0,0,54,1,2,1,2,2,0,2,2,2,2,1,1,108.0,3430,0
1629,1,0,0,0,50,1,0,1,2,2,0,2,0,2,0,1,1,93.5,2898,0
4497,1,0,0,0,1,1,0,1,2,0,0,0,0,2,0,1,3,84.6,4452,1
3573,0,0,0,0,72,1,0,2,1,1,1,1,1,1,2,0,1,20.25,733,0
945,0,0,0,0,29,1,2,2,1,1,1,1,1,1,0,0,2,25.15,4000,0
621,1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,54.4,194,1
314,0,0,0,0,10,0,1,0,0,0,0,2,0,0,2,1,3,29.6,1889,0
4956,1,0,1,0,18,1,2,1,0,0,0,0,0,0,0,1,2,73.15,397,0
35,0,1,0,0,11,1,0,1,0,2,0,0,2,2,0,1,2,95.0,167,1
4638,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,3,19.75,1796,0
3680,0,0,0,0,72,1,2,0,0,2,2,2,2,2,2,0,0,86.6,3712,0
3316,1,0,0,0,72,1,2,1,0,2,2,2,2,2,2,0,0,109.2,4282,0
3809,0,0,1,1,41,1,0,0,2,0,0,2,2,2,1,1,1,74.7,2032,0
4556,0,1,1,0,65,1,0,1,2,2,2,0,0,2,0,0,2,94.4,3611,0
2227,0,1,0,0,13,1,0,0,0,2,2,0,0,0,0,1,2,54.8,4099,0
92,1,1,0,0,4,1,0,1,2,0,0,0,0,0,0,0,2,75.35,1743,0
133,1,0,0,0,41,1,2,0,0,0,2,0,0,2,1,0,3,65.0,1597,0
4976,1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,74.4,109,1
151,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,48.55,2922,1
467,1,0,0,0,42,1,2,1,2,2,2,0,0,2,1,1,2,99.0,2637,0
2007,0,0,1,0,51,1,0,1,2,2,2,0,2,0,1,1,2,93.5,2837,0
2285,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,2,70.4,623,1
4778,1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,40.2,2475,1
1617,1,0,0,1,32,1,2,0,0,2,2,2,2,2,1,0,1,83.7,1669,0
1805,1,0,0,0,10,1,0,2,1,1,1,1,1,1,0,1,3,19.85,1125,0
2029,0,0,1,1,67,0,1,0,0,2,2,2,2,2,2,1,2,59.55,2525,0
3538,0,0,1,1,61,1,2,1,2,2,2,2,2,2,2,0,1,115.1,3996,0
3348,1,0,0,0,50,1,2,1,2,2,2,2,2,2,1,0,1,114.35,3441,0
2482,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,44.6,4332,1
2520,0,1,1,0,29,0,1,0,2,0,2,0,0,2,0,1,2,45.0,302,0
3662,1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,41.15,413,1
1769,1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,106.9,472,1
3787,1,1,1,0,57,1,2,1,0,2,0,0,0,2,0,1,2,89.85,3019,0
3835,0,0,0,0,31,0,1,0,2,2,0,2,0,2,2,1,0,49.85,680,0
935,0,0,1,0,45,1,2,1,2,2,2,2,2,2,1,0,3,113.3,3082,0
54,0,0,1,1,61,1,2,0,2,2,2,2,2,2,2,0,3,88.1,3317,0
3169,1,0,0,0,50,1,2,2,1,1,1,1,1,1,2,0,0,24.9,262,0
1576,0,1,0,0,19,1,0,1,2,2,0,2,2,2,0,1,3,105.0,1202,0
3182,1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,19.35,141,1
3536,0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,1,1,24.25,898,0
2166,0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,94.45,670,1
3852,1,0,1,0,57,1,0,0,2,2,0,2,0,0,2,1,2,59.75,2190,0
3205,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24.8,1488,1
2342,1,1,1,0,20,1,2,1,0,2,0,2,2,2,0,0,2,107.05,1318,0
2998,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.6,3988,1
3236,1,0,1,0,5,1,2,1,0,2,0,2,0,0,0,1,2,85.4,2481,1
2210,0,0,1,0,52,1,2,1,0,2,2,0,2,2,0,1,2,105.05,3362,1
1566,1,1,1,0,21,1,0,0,2,2,0,0,0,2,0,1,0,64.95,438,0
4353,1,0,0,0,14,0,1,0,0,0,2,2,2,2,0,1,2,55.0,4237,0
2040,0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,50.55,1518,0
143,0,0,0,0,6,1,0,0,2,2,0,0,0,0,0,0,3,55.15,2058,0
4161,0,0,0,0,10,1,0,0,0,2,0,0,0,0,0,0,2,51.2,3045,0
1002,0,0,0,1,1,1,2,2,1,1,1,1,1,1,0,0,3,25.4,1571,0
4810,0,0,0,0,68,1,2,0,2,0,0,0,0,0,0,0,3,54.45,2319,0
4776,1,0,1,1,18,1,0,1,0,0,2,0,2,2,0,0,3,95.15,953,1
3127,0,0,0,0,22,1,2,1,0,0,0,0,0,0,1,1,1,76.0,962,0
1891,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,1,2,44.35,4603,0
2816,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70.0,3979,1
1709,1,1,0,0,8,1,0,1,0,2,0,0,0,0,0,1,2,74.5,3580,1
1757,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,44.85,2672,1
3790,1,1,0,0,24,1,2,1,0,0,0,0,0,0,0,1,2,76.1,878,1
1845,1,0,0,0,35,1,0,0,2,2,2,0,0,0,1,0,3,61.2,1218,0
1119,1,0,1,1,23,1,0,1,0,2,2,2,0,0,1,0,3,86.8,1135,0
2423,0,1,0,0,6,1,0,1,0,0,0,0,2,2,0,1,2,89.35,3382,0
758,0,0,0,0,12,1,0,2,1,1,1,1,1,1,0,0,3,19.7,1341,0
4141,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.25,1184,0
3291,0,0,1,1,71,1,0,1,0,0,2,0,0,0,2,0,2,76.05,3260,0
3444,1,1,1,0,35,1,2,1,0,0,2,0,2,2,0,1,2,100.8,2185,0
1460,1,0,1,1,40,1,2,0,0,0,2,0,2,2,0,1,2,74.55,1913,0
3216,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,1,3,73.6,4096,1
434,1,0,0,0,23,1,0,0,0,0,0,0,2,2,1,1,0,64.9,664,0
